period,network,subnetwork,station,station_name,x,y,variable_id,variable_name
before_2007,0005,0011,F000302,Fluviodeltaic del Baix Ter - 17068-0058,502230,4656265,F000302NPM,S8b_Nivell Piezometric_Ter (F000302NPM)_REV0
before_2007,0005,0011,F000304,Fluviodeltaic del Baix Ter - 17199-0055,511787.54,4651650.64,F000304NPA,Nivell piezomètric (F000304NPA)
before_2007,0005,0011,F000304,Fluviodeltaic del Baix Ter - 17199-0055,511787.54,4651650.64,F000304NPM,17199-0055_Torroella Montgri_Ter S-10 Golf_Nivell piezometric_Manual
before_2007,0005,0011,F000306,Fluviodeltaic del Baix Ter - 17081-0041,508845.05,4653434.97,F000306NPM,S3c_Nivell Piezometric_Daro (F000306NPM)_REV0
before_2007,0005,0011,F000307,Fluviodeltaic del Baix Ter - 17062-0014,509544.61,4661650.58,F000307NPA,17062-0014_Escala_Nivell piezometric_Manual
before_2007,0005,0011,F000308,Fluviodeltaic del Baix Ter - 17199-0053,515200.37,4654203.62,F000308NPM,Nivell piezomètric (F000308NPM)
before_2007,0005,0011,F000311,Fluviodeltaic del Fluvià - Muga - 17210-0047,501693.95,4668308.55,F000311NPM,17210-0047_Ventallo_Fluvia S-4_Nivell piezomètric_Manual
before_2007,0005,0011,F000313,Detrític neogen de l'Empordà - 17075-0025,496563.04,4667649.48,F000313NPM,S15_Garrigas_Nivell piezomètric (F000313NPM)
before_2007,0005,0011,F000314,Fluviodeltaic del Fluvià - Muga - 17178-0069,508935.97,4668721.79,F000314NPM,Nivell piezomètric
before_2007,0005,0011,F000317,Fluviodeltaic del Fluvià - Muga - 17178-0070,508968.38,4670756.89,F000317NPM,Nivell piezomètric (F000317NPM)
before_2007,0005,0011,F000320,Fluviodeltaic del Fluvià - Muga - 17210-0048,501177.95,4668075.35,F000320NPM,Nivell piezomètric
before_2007,0005,0011,F000321,Baix Besòs i Pla de Barcelona - 08245-0010,432721.95,4589834.65,F000321NPM,Nivell piezomètric
before_2007,0005,0011,F000322,Baix Besòs i Pla de Barcelona - 08019-0014,432348,4589833,F000322NPM,Nivell piezomètric
